City,State short,State full,County,City alias
Worcester,DC2, Western Cape, Cape Winelands District Municipality,Worcester
Polokwane,DC35,Limpopo,Capricorn District Municipality,Polokwane
George,DC4,Western Cape,Garden Route District Municipality,George
KwaDukuza,DC29,KwaZulu-Natal,iLembe District Municipality,KwaDukuza
Ladysmith,DC23,KwaZulu-Natal,uThukela District Municipality,Ladysmith
Randfontein,DC48,Gauteng,West Rand District Municipality,Toekomsrus
De Aar,DC7,Northern Cape,Pixley ka Seme District Municipality,De Aar
Johannesburg,JHB,Gauteng,City of Johannesburg Metropolitan Municipality,Joburg
Pretoria,TSH,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane
Mbombela,DC32,Mpumalanga,Ehlanzeni District Municipality,Mbombela
Durban,ETH,KwaZulu-Natal,eThekwini Metropolitan Municipality,Durbs
Springbok,DC6,Northern Cape,Namakwa District Municipality,Springbok
