"StateName","Abbreviation","Capital","Zip"
"Alabama","AL","Montgomery","36101"
"Alaska","AK","Juneau","99801"
"Arizona","AZ","Phoenix","85001"
"Arkansas","AR","Little Rock","72201"
"California","CA","Sacramento","94203"
"Colorado","CO","Denver","80201"
"Connecticut","CT","Hartford","06101"
"Delaware","DE","Dover","19901"
"Florida","FL","Tallahassee","32301"
"Georgia","GA","Atlanta","30301"
"Hawaii","HI","Honolulu","96801"
"Idaho","ID","Boise","83701"
"Illinois","IL","Springfield","62701"
"Indiana","IN","Indianapolis","46201"
"Iowa","IA","Des Moines","50301"
"Kansas","KS","Topeka","66601"
"Kentucky","KY","Frankfort","40601"
"Louisiana","LA","Baton Rouge","70801"
"Maine","ME","Augusta","04330"
"Maryland","MD","Annapolis","21401"
"Massachusetts","MA","Boston","02108"
"Michigan","MI","Lansing","48901"
"Minnesota","MN","St. Paul","55101"
"Mississippi","MS","Jackson","39201"
"Missouri","MO","Jefferson City","65101"
"Montana","MT","Helena","59601"
"Nebraska","NE","Lincoln","68501"
"Nevada","NV","Carson City","89701"
"New Hampshire","NH","Concord","03301"
"New Jersey","NJ","Trenton","08601"
"New Mexico","NM","Santa Fe","87501"
"New York","NY","Albany","12201"
"North Carolina","NC","Raleigh","27601"
"North Dakota","ND","Bismarck","58501"
"Ohio","OH","Columbus","43201"
"Oklahoma","OK","Oklahoma City","73101"
"Oregon","OR","Salem","97301"
"Pennsylvania","PA","Harrisburg","17101"
"Rhode Island","RI","Providence","02901"
"South Carolina","SC","Columbia","29201"
"South Dakota","SD","Pierre","57501"
"Tennessee","TN","Nashville","37201"
"Texas","TX","Austin","73301"
"Utah","UT","Salt Lake City","84101"
"Vermont","VT","Montpelier","05601"
"Virginia","VA","Richmond","23218"
"Washington","WA","Olympia","98501"
"West Virginia","WV","Charleston","25301"
"Wisconsin","WI","Madison","53701"
"Wyoming","WY","Cheyenne","82001"
